Graph,P,Size,Execution time
ego-facebook,1,10,419013
graph_actors_dat,1,11,1722821
graph_CA-CondMat,1,8,573481
graph_CA-GrQc,1,8,1666
graph_CA-HepPh,1,6,817930
graph_CA-HepTh,1,8,8893
graph_dolphins,1,2,0
graph_Email-Enron,1,13,3182271
graph_football,1,4,0
graph_jazz,1,4,254
graph_karate,1,4,0
graph_ncstrlwg2,1,7,306
musae_git,1,13,10880213
socfb-Brandeis99,1,8,746591
socfb-Mich67,1,13,377644
socfb-nips-ego,1,9,116
soc-gplus,1,6,165656
graph_actors_dat,2,5,2405403
graph_CA-AstroPh,2,6,5893739
graph_CA-CondMat,2,7,2228995
graph_CA-GrQc,2,4,17817
graph_CA-HepPh,2,5,1486637
graph_CA-HepTh,2,9,111611
graph_dolphins,2,3,0
graph_Email-Enron,2,2,6297657
graph_football,2,4,43
graph_jazz,2,3,2.5
graph_karate,2,2,1
graph_ncstrlwg2,2,4,1944
musae_git,2,9,18346955
socfb-Brandeis99,2,8,795169
socfb-Mich67,2,8,445102
socfb-nips-ego,2,3,579
soc-gplus,2,13,455113
ego-facebook,3,6,684124
graph_actors_dat,3,11,3398250
graph_CA-AstroPh,3,11,8185100
graph_CA-CondMat,3,15,4241941
graph_CA-HepPh,3,12,2351239
graph_CA-HepTh,3,8,317255
graph_dolphins,3,4,1
graph_Email-Enron,3,4,10897185
graph_football,3,2,81
graph_jazz,3,5,440
graph_karate,3,7,6
graph_ncstrlwg2,3,8,20802
socfb-Brandeis99,3,6,1042857
socfb-Mich67,3,16,599934
socfb-nips-ego,3,10,2441
soc-gplus,3,14,1031613
graph_actors_dat,4,11,2900013
graph_CA-AstroPh,4,10,6729565
graph_CA-CondMat,4,10,4054085
graph_CA-HepPh,4,11,2168977
graph_CA-HepTh,4,9,403875
graph_dolphins,4,4,2
graph_football,4,2,83
graph_jazz,4,5,2.8
graph_karate,4,5,6
graph_ncstrlwg2,4,11,72638
socfb-Brandeis99,4,8,1040335
socfb-Mich67,4,10,610244
socfb-nips-ego,4,4,20
graph_CA-AstroPh,5,8,7191552
graph_CA-GrQc,5,12,84260
graph_CA-HepTh,5,16,379352
graph_dolphins,5,6,0
graph_Email-Enron,5,11,11797736
graph_football,5,1,60
graph_jazz,5,4,2.7
graph_karate,5,4,11
graph_ncstrlwg2,5,9,100434
socfb-Brandeis99,5,4,789953
socfb-nips-ego,5,5,6428
soc-gplus,5,10,1520821
graph_CA-GrQc,6,10,58787
graph_CA-HepTh,6,9,258371
graph_dolphins,6,4,1
graph_football,6,1,31
graph_jazz,6,2,3.6
graph_karate,6,3,77
graph_ncstrlwg2,6,8,89467
socfb-Mich67,6,5,269010
ego-facebook,7,12,3634826
graph_actors_dat,7,6,17892750
graph_CA-HepTh,7,10,2869435
graph_dolphins,7,2,16
graph_football,7,1,413
graph_jazz,7,3,4234
graph_karate,7,4,62
socfb-Brandeis99,7,12,4463768
socfb-nips-ego,7,11,82889
ego-facebook,8,7,3532.4
graph_CA-GrQc,8,7,734.412
graph_CA-HepTh,8,5,2978.194
graph_dolphins,8,1,0.04
graph_football,8,1,0.272
graph_jazz,8,3,2.489
graph_karate,8,2,0.049
graph_ncstrlwg2,8,11,1110.343
socfb-Brandeis99,8,8,3780.606
socfb-nips-ego,8,13,96.655
ego-facebook,9,6,3627.466
graph_CA-GrQc,9,6,735.087
graph_CA-HepTh,9,10,3347.074
graph_dolphins,9,1,16
graph_football,9,1,0.405
graph_jazz,9,2,2.406
graph_karate,9,1,0.082
graph_ncstrlwg2,9,12,1216.795
socfb-Brandeis99,9,8,4598.609
socfb-Mich67,9,5,2598.481
socfb-nips-ego,9,5,73.613
