Graph,Algorithm,ExecutionTime,SeedSetSize,ActivatedNodes
graph_dolphins.dimacs,greedyIC,1.3018,34,34
graph_dolphins.dimacs,greedyLT,0.152557,21,21
graph_dolphins.dimacs,localSearchIC,0.021705,0,0
graph_dolphins.dimacs,metaheuristicIC,104.675,1,1
graph_dolphins.dimacs,metaheuristicLT,84.0866,1,1
graph_karate.dimacs,greedyIC,3.03361,62,62
graph_karate.dimacs,greedyLT,0.069037,62,62
graph_karate.dimacs,localSearchIC,0.08179,0,0
graph_karate.dimacs,metaheuristicIC,138.58,1,1
graph_karate.dimacs,metaheuristicLT,156.994,1,1
graph_football.dimacs,greedyIC,5.51575,1,1
graph_football.dimacs,greedyLT,0.048062,115,115
graph_football.dimacs,localSearchIC,0.047611,0,0
graph_football.dimacs,metaheuristicIC,589.145,1,1
graph_football.dimacs,metaheuristicLT,282.538,1,1
graph_jazz.dimacs,greedyIC,94.9576,198,198
graph_jazz.dimacs,greedyLT,0.076079,198,198
graph_jazz.dimacs,localSearchIC,0.112052,0,0
graph_jazz.dimacs,metaheuristicIC,1850.84,2,2
graph_jazz.dimacs,metaheuristicLT,928.685,2,2
socfb-nips-ego.dimacs,greedyIC,1927.83,2888,2888
socfb-nips-ego.dimacs,greedyLT,0.751366,2888,2888
socfb-nips-ego.dimacs,localSearchIC,0.818483,0,0
socfb-nips-ego.dimacs,metaheuristicIC,3195.86,12,12
socfb-nips-ego.dimacs,metaheuristicLT,3136.56,6,6
socfb-Mich67.dimacs,greedyIC,49599.6,3748,3748
socfb-Mich67.dimacs,greedyLT,1.019,3748,3748
socfb-Mich67.dimacs,localSearchIC,2.61247,0,0
socfb-Mich67.dimacs,metaheuristicIC,47921.9,24,24
socfb-Mich67.dimacs,metaheuristicLT,23141.9,46,46
